cliente_id,idade,renda_mensal,gasto_mensal,frequencia_compra,ticket_medio,tempo_cliente_anos,score_engajamento,canal,regiao,plano,data_cadastro,segmento_latente
1,36.0,8535.39,765.48,2.8,270.0,10.8,9.5,Site,Sudeste,Básico,2024-12-27,Tradicional
2,39.0,6828.45,719.92,3.8,187.13,8.7,23.3,Aplicativo,Sudeste,Básico,2024-04-13,Tradicional
3,47.0,11858.51,3872.77,9.0,431.74,13.8,39.8,Marketplace,Centro-Oeste,Premium,2026-04-07,Alto valor
4,43.0,5712.55,781.26,6.4,121.43,5.9,49.3,Site,Nordeste,Premium,2026-05-16,Tradicional
5,25.0,4324.94,1391.81,15.2,91.32,1.5,48.8,Aplicativo,Sul,Premium,2024-01-20,Jovem digital
6,54.0,8184.45,3864.25,8.4,458.15,9.0,31.4,Marketplace,Sul,Básico,2025-04-08,Alto valor
7,48.0,6841.38,781.47,4.0,195.8,7.6,10.1,Site,Norte,Básico,2024-11-09,Tradicional
8,47.0,11664.36,3655.15,7.4,492.59,9.7,44.3,Site,Norte,Básico,2024-09-19,Alto valor
9,23.0,3351.22,1198.02,7.6,157.65,7.8,29.3,Aplicativo,Nordeste,Básico,2022-06-19,Jovem digital
10,48.0,6967.81,922.22,6.7,136.88,8.1,23.6,Aplicativo,Nordeste,Básico,2022-12-17,Tradicional
11,29.0,4572.95,1299.18,10.8,120.62,5.4,41.5,Loja física,Centro-Oeste,Premium,2026-07-14,Jovem digital
12,64.0,12980.21,3875.84,6.7,581.24,11.4,38.9,Site,Norte,Básico,2023-02-13,Alto valor
13,46.0,4264.67,753.54,7.0,107.33,7.4,35.1,Marketplace,Sudeste,Básico,2024-12-25,Tradicional
14,41.0,21943.28,4740.1,9.3,512.37,6.7,35.9,Aplicativo,Norte,Premium,2026-03-05,Alto valor
15,58.0,7920.4,1166.04,5.0,234.07,11.9,30.5,Site,Nordeste,Básico,2024-10-04,Tradicional
16,28.0,4167.1,1419.08,9.3,151.79,8.7,40.4,Loja física,Sul,VIP,2022-12-26,Jovem digital
17,48.0,6528.69,763.48,3.6,213.38,10.7,26.3,Site,Sudeste,Básico,2025-12-08,Tradicional
18,27.0,2891.32,1181.47,7.3,161.39,5.3,31.7,Site,Sudeste,Básico,2022-02-24,Jovem digital
19,31.0,16019.1,4766.4,7.0,676.68,1.3,31.4,Site,Nordeste,VIP,2025-04-24,Alto valor
20,40.0,7922.03,869.04,4.3,202.78,7.0,21.7,Loja física,Nordeste,Premium,2023-03-22,Tradicional
21,50.0,5657.8,658.03,6.8,96.86,6.7,21.9,Loja física,Sudeste,Premium,2024-12-06,Tradicional
22,28.0,5438.07,2028.92,12.7,160.39,5.6,43.5,Aplicativo,Sul,Básico,2024-03-14,Jovem digital
23,44.0,9647.73,3405.6,6.0,566.53,6.2,31.5,Site,Sudeste,Básico,2024-08-09,Alto valor
24,52.0,15498.95,4302.88,5.8,747.8,8.8,13.5,Site,Sul,Premium,2023-10-01,Alto valor
25,34.0,9202.61,1248.56,10.1,123.09,4.2,21.2,Aplicativo,Sul,Básico,2024-06-03,Tradicional
26,30.0,3658.61,930.93,6.5,143.78,3.1,30.5,Aplicativo,Sul,Premium,2026-04-14,Jovem digital
27,35.0,4211.0,865.23,8.1,106.82,9.5,47.9,Marketplace,Sudeste,Básico,2025-10-13,Tradicional
28,29.0,3851.87,1557.26,10.6,147.36,3.7,26.1,Aplicativo,Sudeste,Básico,2023-12-01,Jovem digital
29,27.0,4872.85,1347.7,10.5,128.23,5.7,39.2,Aplicativo,Sudeste,Básico,2026-04-23,Jovem digital
30,33.0,3591.17,631.5,4.5,139.43,8.6,20.7,Site,Sul,Premium,2026-01-26,Tradicional
31,34.0,6433.12,415.09,5.1,81.44,8.6,23.6,Aplicativo,Centro-Oeste,Básico,2024-11-14,Tradicional
32,43.0,17087.97,4009.19,8.8,456.93,9.4,40.1,Aplicativo,Nordeste,VIP,2024-09-21,Alto valor
33,28.0,5592.12,1617.68,12.9,124.99,6.5,36.3,Aplicativo,Nordeste,Básico,2022-03-01,Jovem digital
34,25.0,3521.43,1465.66,12.2,120.44,7.1,36.2,Aplicativo,Sudeste,Básico,2024-05-26,Jovem digital
35,49.0,6762.31,900.27,6.5,139.06,11.5,30.9,Site,Sudeste,Básico,2022-12-22,Tradicional
36,31.0,5359.74,965.25,9.0,107.39,7.2,34.4,Loja física,Centro-Oeste,Premium,2022-09-25,Jovem digital
37,35.0,4512.94,990.39,6.7,147.52,2.4,14.1,Aplicativo,Sul,Premium,2025-12-06,Jovem digital
38,50.0,5976.88,984.41,4.1,241.38,7.3,27.3,Site,Sudeste,Básico,2023-03-30,Tradicional
39,22.0,3358.86,1453.96,11.5,126.12,6.7,39.3,Site,Sul,Básico,2024-10-26,Jovem digital
40,48.0,8543.52,1019.07,5.4,190.22,6.8,20.9,Aplicativo,Nordeste,Premium,2025-12-20,Tradicional
41,42.0,6623.42,856.72,5.2,164.96,11.3,31.4,Site,Sudeste,Básico,2024-09-26,Tradicional
42,54.0,17916.05,4213.03,8.1,520.87,8.9,33.9,Site,Sudeste,Premium,2025-07-28,Alto valor
43,45.0,6445.59,1212.33,5.3,226.7,8.0,32.4,Aplicativo,Sul,Premium,2025-07-19,Tradicional
44,24.0,4727.16,1638.36,13.7,119.84,8.0,43.2,Site,Sudeste,Básico,2024-01-19,Jovem digital
45,65.0,13290.87,3585.47,8.6,414.59,9.9,26.7,Aplicativo,Sudeste,Premium,2026-03-22,Alto valor
46,47.0,16243.76,4646.34,9.7,479.37,8.5,36.8,Marketplace,Nordeste,Premium,2026-02-28,Alto valor
47,33.0,4089.79,1933.08,10.2,190.08,8.6,41.3,Marketplace,Norte,Básico,2023-07-19,Jovem digital
48,29.0,3433.67,1019.49,9.3,110.04,2.6,21.0,Loja física,Sudeste,Básico,2025-10-01,Jovem digital
49,51.0,5826.92,764.37,5.2,146.17,8.0,14.2,Aplicativo,Sudeste,Básico,2022-11-03,Tradicional
50,31.0,3313.47,1204.64,8.3,144.94,8.1,36.1,Loja física,Sul,Premium,2022-07-07,Jovem digital
51,30.0,4609.84,1451.3,9.0,161.68,6.3,28.4,Site,Sudeste,Premium,2024-06-05,Jovem digital
52,23.0,3629.35,1488.21,8.6,172.24,8.7,24.7,Aplicativo,Centro-Oeste,Básico,2024-10-10,Jovem digital
53,53.0,18204.12,6150.7,10.5,586.09,5.3,45.6,Marketplace,Nordeste,Básico,2024-09-02,Alto valor
54,30.0,5208.49,528.41,3.9,135.81,2.3,9.3,Loja física,Sudeste,Básico,2025-08-28,Tradicional
55,35.0,5941.17,733.53,2.8,261.03,8.5,27.8,Aplicativo,Nordeste,Básico,2023-10-16,Tradicional
56,49.0,17496.12,4887.47,9.0,542.12,10.4,39.8,Marketplace,Sudeste,Básico,2025-09-13,Alto valor
57,41.0,12282.13,804.26,5.4,148.33,7.0,27.0,Aplicativo,Sul,Básico,2026-02-17,Tradicional
58,36.0,3856.08,636.56,5.0,126.52,7.7,22.7,Site,Centro-Oeste,Básico,2022-06-02,Tradicional
59,25.0,7375.35,1903.98,12.4,153.89,7.2,24.5,Aplicativo,Sudeste,Premium,2024-01-22,Jovem digital
60,22.0,3175.05,1363.05,11.1,122.89,3.3,28.2,Aplicativo,Sudeste,Premium,2023-01-11,Jovem digital
61,29.0,6157.74,746.09,5.0,148.47,4.4,19.3,Marketplace,Centro-Oeste,Básico,2025-01-02,Tradicional
62,37.0,5528.64,751.09,4.7,160.43,7.4,25.9,Site,Sul,Premium,2023-11-22,Tradicional
63,49.0,8989.52,833.47,4.5,186.45,10.4,11.6,Aplicativo,Sudeste,Básico,2023-04-16,Tradicional
64,48.0,7807.27,981.5,4.2,232.67,5.5,18.8,Loja física,Sudeste,Básico,2023-02-25,Tradicional
65,52.0,9576.46,959.79,8.2,117.03,8.3,25.5,Loja física,Sudeste,VIP,2023-08-17,Tradicional
66,44.0,6522.03,678.9,4.8,140.75,7.2,25.0,Marketplace,Sul,Básico,2022-07-02,Tradicional
67,32.0,6683.26,765.82,3.6,211.73,7.3,19.5,Marketplace,Sudeste,Básico,2022-06-24,Tradicional
68,23.0,3086.94,1383.23,11.6,119.39,5.2,47.0,Marketplace,Sudeste,Básico,2024-11-17,Jovem digital
69,30.0,7745.61,1836.43,11.7,157.05,4.8,49.4,Site,Sudeste,Premium,2026-04-26,Jovem digital
70,35.0,4418.19,649.98,7.8,82.81,9.6,38.8,Aplicativo,Nordeste,Básico,2024-04-28,Tradicional
71,22.0,4154.27,1184.13,10.8,109.9,3.9,43.9,Marketplace,Centro-Oeste,VIP,2026-03-31,Jovem digital
72,42.0,9399.11,645.8,3.5,181.96,6.8,16.0,Aplicativo,Nordeste,Básico,2022-09-17,Tradicional
73,56.0,17559.33,3665.41,6.8,542.3,5.5,49.5,Aplicativo,Nordeste,Básico,2026-06-16,Alto valor
74,23.0,4136.16,1357.27,13.9,97.55,3.7,36.4,Site,Nordeste,Básico,2024-09-07,Jovem digital
75,27.0,5073.98,1311.4,5.0,259.85,6.9,19.2,Aplicativo,Sudeste,Premium,2025-05-28,Jovem digital
76,21.0,4609.15,1712.43,11.6,147.41,5.8,49.0,Site,Sudeste,Básico,2022-04-14,Jovem digital
77,30.0,2158.56,1140.56,9.0,126.2,7.4,42.1,Marketplace,Sudeste,VIP,2024-10-07,Jovem digital
78,42.0,7501.37,1031.04,6.4,160.58,8.9,33.8,Site,Sudeste,VIP,2023-10-03,Tradicional
79,42.0,3735.57,688.51,4.2,164.71,12.4,32.8,Site,Norte,Básico,2026-02-11,Tradicional
80,41.0,18357.87,4890.62,9.8,498.19,5.7,19.7,Site,Sudeste,Básico,2025-08-18,Alto valor
81,19.0,4429.89,743.05,8.4,88.51,1.1,39.2,Loja física,Centro-Oeste,Básico,2025-12-15,Tradicional
82,28.0,9415.68,1162.83,5.0,231.45,3.5,17.6,Aplicativo,Sudeste,Premium,2026-01-28,Tradicional
83,51.0,17370.77,4879.35,8.7,559.17,7.0,44.5,Aplicativo,Sudeste,Premium,2025-04-19,Alto valor
84,38.0,5512.21,1347.44,7.0,191.15,4.9,10.7,Site,Sudeste,Básico,2023-02-15,Jovem digital
85,33.0,5881.67,1722.5,9.9,173.4,6.6,39.8,Site,Sudeste,VIP,2023-04-19,Jovem digital
86,32.0,8631.25,1522.0,9.1,166.79,9.2,33.9,Site,Sudeste,Básico,2025-12-08,Jovem digital
87,42.0,5611.04,184.23,3.4,54.22,11.0,28.0,Aplicativo,Nordeste,Premium,2024-10-02,Tradicional
88,41.0,7261.67,1152.81,4.1,280.34,8.5,25.1,Aplicativo,Sul,Premium,2026-01-31,Tradicional
89,27.0,6028.95,1771.61,11.7,152.02,10.7,50.7,Loja física,Centro-Oeste,Básico,2025-08-22,Jovem digital
90,46.0,9800.54,1077.86,5.1,211.32,7.2,15.5,Site,Centro-Oeste,Básico,2024-10-11,Tradicional
91,29.0,3874.3,1932.32,12.0,160.86,2.2,38.2,Site,Sul,Básico,2022-09-12,Jovem digital
92,42.0,7371.65,1157.57,7.3,159.36,9.9,32.3,Marketplace,Norte,VIP,2026-07-01,Tradicional
93,44.0,3179.7,262.23,5.9,44.22,3.6,26.0,Loja física,Sudeste,Básico,2023-02-11,Tradicional
94,34.0,4404.11,1381.31,13.5,102.33,4.9,54.3,Aplicativo,Sudeste,Premium,2023-02-16,Jovem digital
95,19.0,4518.12,1312.85,10.9,120.27,6.0,41.2,Loja física,Sudeste,Básico,2022-09-02,Jovem digital
96,45.0,14910.01,1521.56,6.5,234.01,7.6,18.4,Aplicativo,Sul,Básico,2022-04-26,Tradicional
97,31.0,6355.58,1090.51,10.5,103.61,5.8,39.4,Aplicativo,Sul,VIP,2023-09-20,Jovem digital
98,26.0,5271.79,1290.35,8.6,150.47,2.9,50.1,Loja física,Sul,Básico,2025-11-11,Jovem digital
99,24.0,6395.87,1841.8,12.9,143.07,5.3,58.1,Aplicativo,Centro-Oeste,Premium,2025-12-18,Jovem digital
100,53.0,14822.26,3613.47,8.4,430.43,11.2,14.8,Aplicativo,Sudeste,Básico,2024-03-31,Alto valor
101,34.0,15737.97,4856.14,8.6,561.53,6.6,34.4,Marketplace,Nordeste,Básico,2023-06-11,Alto valor
102,57.0,10410.36,873.32,3.2,272.61,7.4,25.9,Loja física,Sul,Básico,2023-08-03,Tradicional
103,29.0,8533.66,2234.48,14.7,152.0,3.2,46.4,Marketplace,Sul,Básico,2026-03-17,Jovem digital
104,46.0,11307.05,3254.32,9.6,339.78,6.2,32.5,Marketplace,Sudeste,Premium,2022-04-03,Alto valor
105,42.0,6279.99,855.58,7.9,108.75,8.5,31.6,Aplicativo,Sudeste,Básico,2022-04-07,Tradicional
106,24.0,7562.0,811.96,3.7,217.0,6.2,23.1,Site,Sudeste,Básico,2022-04-19,Tradicional
