,idade,renda,tempo_cliente,frequencia,reclamacoes,engajamento,dias_sem_comprar,desconto,ticket,gasto_mensal
793,35.85469350252114,4379.599275043943,5.100553930264911,8.36615188468732,2,99.64600743301128,9.41717080488137,11.941011190841522,174.27997146104303,2659.349831184461
1342,25.207446932988116,5405.197006776776,6.2232240571441295,9.44994146729751,3,99.48321922032541,23.085392356008786,19.219608479535992,223.81519077689535,3546.329800564186
1948,38.94005716167317,4299.615577325144,2.9037254991438677,7.726809128817636,2,98.69948292776449,7.9864270169084275,16.548449098127012,171.45176227381484,3032.314363708936
1387,60.55103378240747,5995.765751149603,5.490278799298843,15.457916343776159,1,98.53629243266533,23.180922248541968,18.46332423600525,109.66887070738863,3941.1326634625684
1487,35.9633104147318,4325.959317700373,3.2311172947829734,11.895504968582825,2,98.33992770107852,30.60813478767775,10.958426949368677,207.15214361868135,2390.319691650411
1186,48.59624761642394,5013.407067889644,2.203449899224096,9.117059759380552,1,98.14339284954556,23.145912316132765,15.748826091714273,127.25332234537792,2282.3805188894894
1380,41.288205455992454,7940.311201278062,1.1475494621961349,8.911970021779519,1,98.07591484381533,16.376888083892656,13.1436168938506,181.3546701629098,2773.1399050004147
1967,56.70097960851443,6304.973970519304,6.257740358530595,7.424337257682749,2,97.95623403654781,52.77833011210153,15.008221726810454,212.80680869257625,3083.851832164788
888,34.842066461681476,11194.838713761384,3.3564980798944553,5.962722714526416,0,97.82347700305901,35.82061262817089,11.566541784780691,218.13854599318125,2860.6225284646935
574,59.366720138348484,9766.009974396045,8.584054743196095,6.6097356537521,3,97.67471700612201,19.47240021303315,17.317589962707512,159.72326564679946,3613.9219312217015
1000,36.73828872659503,9811.89533226709,0.7604664943328098,6.572574303394258,2,97.53650400709569,50.876310105263364,12.907705588637102,286.8253656694583,2343.082008546681
112,45.31077201881975,3443.267700842007,17.754421727368776,4.845311016384684,1,97.43311932775744,27.200155224013315,7.408173699840504,263.96395541969076,2753.4203630199117
1594,42.07933709116998,4922.54157729613,3.025338829824965,1.964983281371392,4,97.35833156076417,17.50349963636564,9.655802422276764,203.57292504043775,2097.1489593694077
1574,29.70107619440614,3079.5860143142118,1.9338854419198495,8.731300430577296,1,96.95246522186729,11.627123552132275,5.301465942374219,143.32765269084808,2105.511070663385
1348,41.67042846760966,2510.3480762139193,15.088340623202786,9.723048777574306,1,96.93365835925229,57.91585401800512,19.246781822652267,153.02363825433258,3190.7814703585486
590,43.5381750451648,5046.234613343646,2.4496080007901653,3.5120450876832914,2,96.66154070040017,39.11504040124765,10.22589902255656,208.51835505491016,1786.9324086412862
969,31.254230499738142,8118.8758621595325,3.01809863455279,7.183271612875249,2,95.98364849676383,31.28404137705978,16.440026274945154,84.21873101597836,3136.78742707098
1791,20.380316733107456,3217.151839875917,4.86129982684542,4.850294383427191,2,95.94422106532897,38.85810227725429,14.072372937539365,212.51633092099007,1960.695444389906
539,50.453321110746586,6712.010426987271,2.5544843600210347,11.70907075423191,2,95.92203827567633,18.662036860134045,9.812628750351113,219.82253225406143,2398.962541612378
1850,55.4185790656542,15292.331454917376,5.6748152281868105,8.690436332163124,2,95.8836477926587,21.72146149343257,3.129028632434167,281.15799618694814,3204.0463841235423
582,42.0810253163541,9716.037256507174,5.436089312876481,13.09385263936776,3,95.85635071257977,50.9232766081543,13.772094243871312,208.90159587940803,3443.260987342557
541,47.814783937100415,8729.24214578301,3.7429345528616724,12.137181029705992,3,95.73351815542686,29.305515894391785,12.830941982482782,151.86803565726746,2565.7723534636893
547,42.46391069055266,19500.161773828317,3.0636917943819784,11.686124191922703,0,95.7276983039137,94.71965148544922,3.671152556142184,178.48744737911642,3535.897221101762
21,40.35843606302012,6602.340629942079,2.617453112803741,6.627129935911231,4,95.5771930940503,72.96864316220318,9.11568175255173,136.56694469551897,2135.5101593298027
90,27.346708276491512,7789.969757051831,3.512162133489794,6.878255201437367,2,95.5145403293148,169.58000695768484,7.260280343872398,245.90873290902513,1803.1831978026767
1230,43.991060904039315,4841.183650783533,2.608243274867626,7.107139889513689,3,95.41488577556898,14.4049541645985,17.532246823490777,292.0347294121996,2786.1458239097665
