model,horizon,MAE,RMSE,MAPE,n_obs
arima,1,0.8748599473510145,1.2871834045891295,5.232078327843288,17
arima,2,0.9079723541504565,1.2332435710303653,5.493727118434426,17
arima,3,0.7956107353108494,1.0236410882131097,4.93850773161216,17
holt,1,0.8567386950379503,1.2657272701061095,5.1099324999048985,17
holt,2,0.8472428069809004,1.1756120259001681,5.12022085884638,17
holt,3,0.7084732348415096,0.9280032551442678,4.408808653331382,17
holt_winters,1,0.8941140784441116,1.2879794527976784,5.330618997070011,17
holt_winters,2,0.9174864944868267,1.226174100412699,5.567865028568679,17
holt_winters,3,0.8071728648587075,1.0288521733083922,5.016846669199833,17
naive,1,0.8794116470588234,1.2685677852928101,5.254783706860742,17
naive,2,0.8905881176470588,1.1871862384251755,5.42024578683451,17
naive,3,0.8382351176470585,1.0533222606146202,5.21519831532568,17
sarima,1,0.8748599473510145,1.2871834045891295,5.232078327843288,17
sarima,2,0.9079723541504565,1.2332435710303653,5.493727118434426,17
sarima,3,0.7956107353108494,1.0236410882131097,4.93850773161216,17
seasonal_naive,1,2.281764470588235,3.107042009788201,13.552828507210943,17
seasonal_naive,2,1.802941,2.3991847529575416,10.721229035961768,17
seasonal_naive,3,1.4929409999999999,2.0088771686750637,9.126843693655442,17
ses,1,0.8769093125152077,1.2658527916917228,5.243183929904015,17
ses,2,0.8839273890770611,1.1790092644184014,5.379391784284453,17
ses,3,0.8330928818432949,1.0484137834211928,5.184752818278801,17
