model,horizon,MAE,RMSE,MAPE,n_obs
ml_gradient_boosting,1,1.56116729197778,2.0441319916957146,9.41122772670766,17
ml_gradient_boosting,2,1.6304755166330545,1.8865432125726125,9.87592707312748,17
ml_gradient_boosting,3,1.7505050296411915,2.078832022253122,11.127662709217914,17
ml_random_forest,1,1.2462422386223402,1.7496967300444295,7.425205861213093,17
ml_random_forest,2,0.9941175357974869,1.2841014239888364,5.989646596862784,17
ml_random_forest,3,1.3313858054204109,1.8101280753981808,8.285629811031004,17
ml_ridge,1,1.0644503015818596,1.4249411135023404,6.427962813369516,17
ml_ridge,2,0.8995340113442145,1.0565446235767442,5.596787107869877,17
ml_ridge,3,1.227839069868817,1.4792866995903449,7.713225073530665,17
ml_xgboost,1,1.3853986712861903,1.7713006867231247,8.420464734219848,17
ml_xgboost,2,1.3677085804335651,1.5495729728400505,8.314191281571187,17
ml_xgboost,3,1.8205365451839672,2.169439996280432,11.45768265279701,17
prophet,1,5.706426810898609,5.786372370725424,35.889657057204865,17
prophet,2,5.840951613725912,5.9177072600472,36.98076492265754,17
prophet,3,6.124206735888529,6.17198652775569,39.119229720998604,17
